"","first_quartile","mean","third_quartile","divergences","Rhat","seed","runtime","variable"
"51",0.10324039420404,0.114850429893055,0.123960222574599,"0.0125%","[1] ""Rhat looks reasonable for all parameters""","115016",4.27587374448776,"sigma_interceptsb"
"52",0.598196718602148,0.625552402084694,0.652416745240837,"0.0125%","[1] ""Rhat looks reasonable for all parameters""","115016",4.27587374448776,"b_z"
"53",0.00957766473805941,0.00981625069585054,0.0100394094523084,"0.0125%","[1] ""Rhat looks reasonable for all parameters""","115016",4.27587374448776,"sigma_y"
"54",0.228820306071154,0.35558730233798,0.469792120063553,"0.0125%","[1] ""Rhat looks reasonable for all parameters""","115016",4.27587374448776,"lam_interceptsa"
"55",0.217123493294925,0.24029865369982,0.258380568865544,"0.0125%","[1] ""Rhat looks reasonable for all parameters""","115016",4.27587374448776,"sigma_interceptsa"
"56",3.97031903194167,4.01910044951015,4.06630768561896,"0.0125%","[1] ""Rhat looks reasonable for all parameters""","115016",4.27587374448776,"a_z"
"57",0.416183253746983,0.532655182778299,0.655984625721815,"0%","[1] ""Rhat looks reasonable for all parameters""","146879",4.04116110404332,"lam_interceptsb"
"58",0.103134797915204,0.114510663701637,0.123699422332636,"0%","[1] ""Rhat looks reasonable for all parameters""","146879",4.04116110404332,"sigma_interceptsb"
"59",0.597281800334005,0.626115629178062,0.653888152547073,"0%","[1] ""Rhat looks reasonable for all parameters""","146879",4.04116110404332,"b_z"
"60",0.00958714359294338,0.00982957079736431,0.0100608522859231,"0%","[1] ""Rhat looks reasonable for all parameters""","146879",4.04116110404332,"sigma_y"
"61",0.225809171730067,0.351031091374953,0.466760105339648,"0%","[1] ""Rhat looks reasonable for all parameters""","146879",4.04116110404332,"lam_interceptsa"
"62",0.21746624561713,0.239521714603583,0.257447831249179,"0%","[1] ""Rhat looks reasonable for all parameters""","146879",4.04116110404332,"sigma_interceptsa"
"63",3.97273040612739,4.02066710769242,4.06823970651556,"0%","[1] ""Rhat looks reasonable for all parameters""","146879",4.04116110404332,"a_z"
"64",0.425105810234011,0.537510639758397,0.654596403001676,"0.0125%","[1] ""Rhat looks reasonable for all parameters""","840995",4.24673961400986,"lam_interceptsb"
"65",0.102975632482134,0.114635320749716,0.123765304524083,"0.0125%","[1] ""Rhat looks reasonable for all parameters""","840995",4.24673961400986,"sigma_interceptsb"
"66",0.598290976348347,0.626144211893885,0.653231870112645,"0.0125%","[1] ""Rhat looks reasonable for all parameters""","840995",4.24673961400986,"b_z"
"67",0.00957902523261283,0.00981792951152759,0.0100481944065886,"0.0125%","[1] ""Rhat looks reasonable for all parameters""","840995",4.24673961400986,"sigma_y"
"68",0.227144282967433,0.35422577705233,0.469932349555693,"0.0125%","[1] ""Rhat looks reasonable for all parameters""","840995",4.24673961400986,"lam_interceptsa"
"69",0.217629549283289,0.239649077475202,0.257415163076898,"0.0125%","[1] ""Rhat looks reasonable for all parameters""","840995",4.24673961400986,"sigma_interceptsa"
"70",3.97074902416112,4.01809608441453,4.06583747176729,"0.0125%","[1] ""Rhat looks reasonable for all parameters""","840995",4.24673961400986,"a_z"
