query,species.name,db,sp,genus,family,order,class,phylum,kingdom
Tetheella fluctuosa,Tetheella fluctuosa,ncbi,Tetheella fluctuosa,Tetheella,Drepanidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Elachista canapennella,Elachista canapennella,ncbi,Elachista canapennella,Elachista,Elachistidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Arctia caja,Arctia caja,ncbi,Arctia caja,Arctia,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Calliteara pudibunda,Calliteara pudibunda,ncbi,Calliteara pudibunda,Calliteara,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Cybosia mesomella,Cybosia mesomella,ncbi,Cybosia mesomella,Cybosia,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Diaphora mendica,Diaphora mendica,ncbi,Diaphora mendica,Diaphora,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eilema complana,Eilema complana,ncbi,Eilema complana,Eilema,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eilema depressa,Eilema depressa,ncbi,Eilema depressum,Eilema,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eilema griseola,Eilema griseola,ncbi,Eilema griseolum,Eilema,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eilema lurideola,Eilema lurideola,ncbi,Eilema lurideolum,Eilema,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eilema sororcula,Eilema sororcula,ncbi,Eilema sororculum,Eilema,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Euproctis chrysorrhoea,Euproctis chrysorrhoea,ncbi,Euproctis chrysorrhoea,Euproctis,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Euproctis similis,Euproctis similis,ncbi,Euproctis similis,Euproctis,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Herminia grisealis,Herminia grisealis,ncbi,Herminia grisealis,Herminia,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Zanclognatha tarsipennalis,Zanclognatha tarsipennalis,ncbi,Herminia tarsipennalis,Herminia,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hypena crassalis,Hypena crassalis,ncbi,Hypena crassalis,Hypena,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hypena crassalis,Lepidoptera,ncbi,Hypena crassalis,Hypena,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hypena proboscidalis,Hypena proboscidalis,ncbi,Hypena proboscidalis,Hypena,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hypenodes humidalis,Hypenodes humidalis,ncbi,Hypenodes humidalis,Hypenodes,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Laspeyria flexula,Laspeyria flexula,ncbi,Laspeyria flexula,Laspeyria,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Lymantria monacha,Lymantria monacha,ncbi,Lymantria monacha,Lymantria,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Miltochrista miniata,Miltochrista miniata,ncbi,Miltochrista miniata,Miltochrista,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Nudaria mundana,Nudaria mundana,ncbi,Nudaria mundana,Nudaria,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Phragmatobia fuliginosa,Phragmatobia fuliginosa,ncbi,Phragmatobia fuliginosa,Phragmatobia,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Rivula sericealis,Rivula sericealis,ncbi,Rivula sericealis,Rivula,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Spilosoma luteum,Spilosoma luteum,ncbi,Spilarctia lutea,Spilarctia,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Spilosoma lubricipeda,Spilosoma lubricipeda,ncbi,Spilosoma lubricipeda,Spilosoma,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Thumatha senex,Thumatha senex,ncbi,Thumatha senex,Thumatha,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Tyria jacobaeae,Tyria jacobaeae,ncbi,Tyria jacobaeae,Tyria,Erebidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Mirificarma mulinella,Mirificarma mulinella,ncbi,Mirificarma mulinella,Mirificarma,Gelechiidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Abraxas grossulariata,Abraxas grossulariata,ncbi,Abraxas grossulariatus,Abraxas,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Aethalura punctulata,Aethalura punctulata,ncbi,Aethalura punctulata,Aethalura,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agriopis aurantiaria,Agriopis aurantiaria,ncbi,Agriopis aurantiaria,Agriopis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agriopis leucophaearia,Agriopis leucophaearia,ncbi,Agriopis leucophaearia,Agriopis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Agriopis marginaria,Agriopis marginaria,ncbi,Agriopis marginaria,Agriopis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Alcis jubata,Alcis jubata,ncbi,Alcis jubata,Alcis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Alcis repandata,Alcis repandata,ncbi,Alcis repandata,Alcis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Alsophila aescularia,Alsophila aescularia,ncbi,Alsophila aescularia,Alsophila,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Anticlea badiata,Anticlea badiata,ncbi,Anticlea badiata,Anticlea,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Anticlea derivata,Anticlea derivata,ncbi,Anticlea derivata,Anticlea,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Apeira syringaria,Apeira syringaria,ncbi,Apeira syringaria,Apeira,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Apocheima hispidaria,Apocheima hispidaria,ncbi,Apocheima hispidaria,Apocheima,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Apocheima pilosaria,Apocheima pilosaria,ncbi,Apocheima pilosaria,Apocheima,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Aspitates ochrearia,Caterpillar,ncbi,Aspitates ochrearia,Aspitates,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Aspitates ochrearia,Semiaspilates ochrearia,ncbi,Aspitates ochrearia,Aspitates,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Asthena albulata,Asthena albulata,ncbi,Asthena albulata,Asthena,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Biston betularia,Biston betularia,ncbi,Biston betularia,Biston,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Biston strataria,Biston strataria,ncbi,Biston stratarius,Biston,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Bupalus piniaria,Bupalus piniaria,ncbi,Bupalus piniaria,Bupalus,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Cabera exanthemata,Cabera exanthemata,ncbi,Cabera exanthemata,Cabera,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Cabera pusaria,Cabera pusaria,ncbi,Cabera pusaria,Cabera,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Campaea margaritata,Campaea margaritata,ncbi,Campaea margaritaria,Campaea,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Chesias legatella,Chesias legatella,ncbi,Chesias legatella,Chesias,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Chesias rufata,Chesias rufata,ncbi,Chesias rufata,Chesias,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Chiasmia clathrata,Chiasmia clathrata,ncbi,Chiasmia clathrata,Chiasmia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Chloroclysta miata,Chloroclysta miata,ncbi,Chloroclysta miata,Chloroclysta,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Chloroclysta siterata,Chloroclysta siterata,ncbi,Chloroclysta siterata,Chloroclysta,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Cidaria fulvata,Cidaria fulvata,ncbi,Cidaria fulvata,Cidaria,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Coenotephria salicata,Coenotephria salicata,ncbi,Coenotephria salicata,Coenotephria,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Colostygia multistrigaria,Colostygia multistrigaria,ncbi,Colostygia multistrigaria,Colostygia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Colostygia olivata,Colostygia olivata,ncbi,Colostygia olivata,Colostygia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Colostygia pectinataria,Colostygia pectinataria,ncbi,Colostygia pectinataria,Colostygia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Colotois pennaria,Colotois pennaria,ncbi,Colotois pennaria,Colotois,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Comibaena bajularia,Comibaena bajularia,ncbi,Comibaena bajularia,Comibaena,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Cosmorhoe ocellata,Cosmorhoe ocellata,ncbi,Cosmorhoe ocellata,Cosmorhoe,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Crocallis elinguaria,Crocallis elinguaria,ncbi,Crocallis elinguaria,Crocallis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Cyclophora linearia,Cyclophora linearia,ncbi,Cyclophora linearia,Cyclophora,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Deileptenia ribeata,Deileptenia ribeata,ncbi,Deileptenia ribeata,Deileptenia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Chloroclysta citrata,Chloroclysta citrata,ncbi,Dysstroma citrata,Dysstroma,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Chloroclysta truncata,Chloroclysta truncata,ncbi,Dysstroma truncata,Dysstroma,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Ecliptopera silaceata,Ecliptopera silaceata,ncbi,Ecliptopera silaceata,Ecliptopera,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Ectropis crepuscularia,Eupithecia extensaria,ncbi,Ectropis crepuscularia,Ectropis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Ectropis crepuscularia,Phytoplankton,ncbi,Ectropis crepuscularia,Ectropis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Electrophaes corylata,Electrophaes corylata,ncbi,Electrophaes corylata,Electrophaes,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Ennomos alniaria,Ennomos alniaria,ncbi,Ennomos alniaria,Ennomos,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Ennomos erosaria,Ennomos erosaria,ncbi,Ennomos erosarius,Ennomos,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Ennomos fuscantaria,Ennomos fuscantaria,ncbi,Ennomos fuscantarius,Ennomos,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Ennomos quercinaria,Ennomos quercinaria,ncbi,Ennomos quercinarius,Ennomos,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Entephria caesiata,Entephria caesiata,ncbi,Entephria caesiata,Entephria,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Epirrhoe alternata,Epirrhoe alternata,ncbi,Epirrhoe alternata,Epirrhoe,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Epirrhoe rivata,Epirrhoe rivata,ncbi,Epirrhoe rivata,Epirrhoe,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Epirrita,Epirrita,ncbi,NA,Epirrita,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Epirrita autumnata,Epirrita autumnata,ncbi,Epirrita autumnata,Epirrita,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Epirrita christyi,Epirrita christyi,ncbi,Epirrita christyi,Epirrita,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Epirrita dilutata,Epirrita dilutata,ncbi,Epirrita dilutata,Epirrita,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Epirrita filigrammaria,Epirrita filigrammaria,ncbi,Epirrita filigrammaria,Epirrita,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Erannis defoliaria,Erannis defoliaria,ncbi,Erannis defoliaria,Erannis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eulithis populata,Eulithis populata,ncbi,Eulithis populata,Eulithis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eulithis pyraliata,Eulithis pyraliata,ncbi,Eulithis pyraliata,Eulithis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eulithis testata,Eulithis testata,ncbi,Eulithis testata,Eulithis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Euphyia unangulata,Euphyia unangulata,ncbi,Euphyia unangulata,Euphyia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia,Eupithecia,ncbi,NA,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia abbreviata,Eupithecia abbreviata,ncbi,Eupithecia abbreviata,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia absinthiata,Eupithecia absinthiata,ncbi,Eupithecia absinthiata,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia centaureata,Eupithecia centaureata,ncbi,Eupithecia centaureata,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia exiguata,Eupithecia exiguata,ncbi,Eupithecia exiguata,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia icterata,Eupithecia icterata,ncbi,Eupithecia icterata,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia intricata,Eupithecia intricata,ncbi,Eupithecia intricata,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia lariciata,Eupithecia lariciata,ncbi,Eupithecia lariciata,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia nanata,Eupithecia nanata,ncbi,Eupithecia nanata,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia plumbeolata,Eupithecia plumbeolata,ncbi,Eupithecia plumbeolata,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia pulchellata,Eupithecia pulchellata,ncbi,Eupithecia pulchellata,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia pusillata,Eupithecia pusillata,ncbi,Eupithecia pusillata,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia satyrata,Eupithecia satyrata,ncbi,Eupithecia satyrata,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia subfuscata,Eupithecia subfuscata,ncbi,Eupithecia subfuscata,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia tantillaria,Eupithecia tantillaria,ncbi,Eupithecia tantillaria,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia virgaureata,Eupithecia virgaureata,ncbi,Eupithecia virgaureata,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Eupithecia vulgata,Eupithecia vulgata,ncbi,Eupithecia vulgata,Eupithecia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Geometra papilionaria,Geometra papilionaria,ncbi,Geometra papilionaria,Geometra,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Gymnoscelis rufifasciata,Gymnoscelis rufifasciata,ncbi,Gymnoscelis rufifasciata,Gymnoscelis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hemithea aestivaria,Hemithea aestivaria,ncbi,Hemithea aestivaria,Hemithea,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hydrelia sylvata,Hydrelia sylvata,ncbi,Hydrelia sylvata,Hydrelia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hydriomena furcata,Hydriomena furcata,ncbi,Hydriomena furcata,Hydriomena,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hydriomena impluviata,Hydriomena impluviata,ncbi,Hydriomena impluviata,Hydriomena,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hylaea fasciaria,Hylaea fasciaria,ncbi,Hylaea fasciaria,Hylaea,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hypomecis punctinalis,Hypomecis punctinalis,ncbi,Hypomecis punctinalis,Hypomecis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Idaea aversata,Idaea aversata,ncbi,Idaea aversata,Idaea,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Idaea biselata,Idaea biselata,ncbi,Idaea biselata,Idaea,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Idaea dimidiata,Idaea dimidiata,ncbi,Idaea dimidiata,Idaea,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Idaea emarginata,Idaea emarginata,ncbi,Idaea emarginata,Idaea,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Idaea fuscovenosa,Idaea fuscovenosa,ncbi,Idaea fuscovenosa,Idaea,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Idaea rusticata,Idaea rusticata,ncbi,Idaea rusticata,Idaea,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Idaea seriata,Idaea seriata,ncbi,Idaea seriata,Idaea,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Idaea subsericeata,Idaea subsericeata,ncbi,Idaea subsericeata,Idaea,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Idaea trigeminata,Idaea trigeminata,ncbi,Idaea trigeminata,Idaea,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Jodis lactearia,Jodis lactearia,ncbi,Jodis lactearia,Jodis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Lampropteryx otregiata,Lampropteryx otregiata,ncbi,Lampropteryx otregiata,Lampropteryx,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Lampropteryx suffumata,Lampropteryx suffumata,ncbi,Lampropteryx suffumata,Lampropteryx,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Lomaspilis marginata,Lomaspilis marginata,ncbi,Lomaspilis marginata,Lomaspilis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Lomographa bimaculata,Lomographa bimaculata,ncbi,Lomographa bimaculata,Lomographa,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Lomographa temerata,Lomographa temerata,ncbi,Lomographa temerata,Lomographa,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Lycia hirtaria,Lycia hirtaria,ncbi,Lycia hirtaria,Lycia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Macaria alternata,Macaria alternata,ncbi,Macaria alternata,Macaria,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Macaria liturata,Macaria liturata,ncbi,Macaria liturata,Macaria,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Ectropis crepuscularia,Ectropis bistortata,ncbi,Ectropis crepuscularia,Ectropis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Odontopera bidentata,Odontopera bidentata,ncbi,Odontopera bidentata,Odontopera,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Operophtera brumata,Operophtera brumata,ncbi,Operophtera brumata,Operophtera,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Operophtera fagata,Operophtera fagata,ncbi,Operophtera fagata,Operophtera,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Opisthograptis luteolata,Opisthograptis luteolata,ncbi,Opisthograptis luteolata,Opisthograptis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Orthonama vittata,Orthonama vittata,ncbi,Orthonama vittatum,Orthonama,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Ourapteryx sambucaria,Ourapteryx sambucaria,ncbi,Ourapteryx sambucaria,Ourapteryx,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Pachycnemia hippocastanaria,Pachycnemia hippocastanaria,ncbi,Pachycnemia hippocastanaria,Pachycnemia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Parectropis similaria,Parectropis similaria,ncbi,Parectropis similaria,Parectropis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Pasiphila debiliata,Pasiphila debiliata,ncbi,Pasiphila debiliata,Pasiphila,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Pasiphila rectangulata,Pasiphila rectangulata,ncbi,Pasiphila rectangulata,Pasiphila,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Pelurga comitata,Pelurga comitata,ncbi,Pelurga comitata,Pelurga,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Perconia strigillaria,Perconia strigillaria,ncbi,Perconia strigillaria,Perconia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Peribatodes rhomboidaria,Peribatodes rhomboidaria,ncbi,Peribatodes rhomboidaria,Peribatodes,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Perizoma,Perizoma didymata,ncbi,NA,Perizoma,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Perizoma affinitata,Perizoma affinitata,ncbi,Perizoma affinitatum,Perizoma,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Perizoma albulata,Perizoma albulata,ncbi,Perizoma albulatum,Perizoma,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Perizoma alchemillata,Perizoma alchemillata,ncbi,Perizoma alchemillatum,Perizoma,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Perizoma flavofasciata,Perizoma flavofasciata,ncbi,Perizoma flavofasciatum,Perizoma,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Petrophora chlorosata,Petrophora chlorosata,ncbi,Petrophora chlorosata,Petrophora,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Plagodis dolabraria,Plagodis dolabraria,ncbi,Plagodis dolabraria,Plagodis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Plagodis pulveraria,Plagodis pulveraria,ncbi,Plagodis pulveraria,Plagodis,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Scopula floslactata,Scopula floslactata,ncbi,Scopula floslactata,Scopula,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Scopula imitaria,Scopula imitaria,ncbi,Scopula imitaria,Scopula,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Scopula marginepunctata,Scopula marginepunctata,ncbi,Scopula marginepunctata,Scopula,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Scopula ternata,Scopula ternata,ncbi,Scopula ternata,Scopula,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Scotopteryx chenopodiata,Scotopteryx chenopodiata,ncbi,Scotopteryx chenopodiata,Scotopteryx,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Scotopteryx luridata,Scotopteryx luridata,ncbi,Scotopteryx luridata,Scotopteryx,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Scotopteryx mucronata,Scotopteryx mucronata,ncbi,Scotopteryx mucronata,Scotopteryx,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Selenia dentaria,Selenia dentaria,ncbi,Selenia dentaria,Selenia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Selenia lunularia,Selenia lunularia,ncbi,Selenia lunularia,Selenia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Selenia tetralunaria,Selenia tetralunaria,ncbi,Selenia tetralunaria,Selenia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Thera britannica,Thera britannica,ncbi,Thera britannica,Thera,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Thera firmata,Thera firmata,ncbi,Thera firmata,Thera,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Thera juniperata,Thera juniperata,ncbi,Thera juniperata,Thera,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Thera obeliscata,Thera obeliscata,ncbi,Thera obeliscata,Thera,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Theria primaria,Theria primaria,ncbi,Theria primaria,Theria,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Timandra comae,Timandra comae,ncbi,Timandra comae,Timandra,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Trichopteryx carpinata,Trichopteryx carpinata,ncbi,Trichopteryx carpinata,Trichopteryx,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Venusia cambrica,Venusia cambrica,ncbi,Venusia cambrica,Venusia,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xanthorhoe decoloraria,Xanthorhoe decoloraria,ncbi,Xanthorhoe decoloraria,Xanthorhoe,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xanthorhoe designata,Xanthorhoe designata,ncbi,Xanthorhoe designata,Xanthorhoe,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xanthorhoe ferrugata,Xanthorhoe ferrugata,ncbi,Xanthorhoe ferrugata,Xanthorhoe,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xanthorhoe fluctuata,Xanthorhoe fluctuata,ncbi,Xanthorhoe fluctuata,Xanthorhoe,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xanthorhoe montanata,Xanthorhoe montanata,ncbi,Xanthorhoe montanata,Xanthorhoe,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xanthorhoe quadrifasciata,Xanthorhoe quadrifasciata,ncbi,Xanthorhoe quadrifasciata,Xanthorhoe,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Xanthorhoe spadicearia,Xanthorhoe spadicearia,ncbi,Xanthorhoe spadicearia,Xanthorhoe,Geometridae,Lepidoptera,Insecta,Arthropoda,Metazoa
Phyllonorycter messaniella,Phyllonorycter messaniella,ncbi,Phyllonorycter messaniella,Phyllonorycter,Gracillariidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Korscheltellus lupulinus,Hepialus lupulinus,ncbi,Korscheltellus lupulinus,Korscheltellus,Hepialidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Pharmacis fusconebulosa,Pharmacis fusconebulosa,ncbi,Pharmacis fusconebulosa,Pharmacis,Hepialidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Hepialus sylvina,Hepialus sylvina,ncbi,Triodia sylvina,Triodia,Hepialidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Atalopedes campestris,Atalopedes campestris,ncbi,Atalopedes campestris,Atalopedes,Hesperiidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Ochlodes venata,Ochlodes venata,ncbi,Ochlodes venata,Ochlodes,Hesperiidae,Lepidoptera,Insecta,Arthropoda,Metazoa
Euthrix potatoria,Euthrix potatoria,ncbi,Euthrix potatoria,Euthrix,Lasiocampidae,Lepidoptera,Insecta,Arthropoda,Metazoa
