query,species.name,db,sp,genus,family,order,class,phylum,kingdom
Leptodiaptomus ashlandi,Leptodiaptomus ashlandi,ncbi,Leptodiaptomus ashlandi,Leptodiaptomus,Diaptomidae,Calanoida,Hexanauplia,Arthropoda,Metazoa
Cyclops,Cyclops,ncbi,NA,Cyclops,Cyclopidae,Cyclopoida,Hexanauplia,Arthropoda,Metazoa
Cyclops vicinus,Cyclops vicinus,ncbi,Cyclops vicinus,Cyclops,Cyclopidae,Cyclopoida,Hexanauplia,Arthropoda,Metazoa
Mesocyclops,Mesocyclops,ncbi,NA,Mesocyclops,Cyclopidae,Cyclopoida,Hexanauplia,Arthropoda,Metazoa
Thermocyclops oithonoides,Thermocyclops oithonoides,ncbi,Thermocyclops oithonoides,Thermocyclops,Cyclopidae,Cyclopoida,Hexanauplia,Arthropoda,Metazoa
Oncaea venusta,Copepod,ncbi,Oncaea venusta,Oncaea,Oncaeidae,Poecilostomatoida,Hexanauplia,Arthropoda,Metazoa
Musca domestica,Diptera,ncbi,Musca domestica,Musca,Muscidae,Diptera,Insecta,Arthropoda,Metazoa
Eristalis tenax,Syrphid,ncbi,Eristalis tenax,Eristalis,Syrphidae,Diptera,Insecta,Arthropoda,Metazoa
Adelges viridis,Adelgidae,ncbi,Adelges viridis,Adelges,Adelgidae,Hemiptera,Insecta,Arthropoda,Metazoa
Adelges viridis,Adelgidae and Phylloxeridae spp,ncbi,Adelges viridis,Adelges,Adelgidae,Hemiptera,Insecta,Arthropoda,Metazoa
Anoecia corni,Anoecia corni,ncbi,Anoecia corni,Anoecia,Anoeciidae,Hemiptera,Insecta,Arthropoda,Metazoa
Acyrthosiphon,Acyrthosiphon primulae,ncbi,NA,Acyrthosiphon,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Acyrthosiphon malvae,Acyrthosiphon malvae,ncbi,Acyrthosiphon malvae,Acyrthosiphon,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Acyrthosiphon pisum,Acyrthosiphon pisum,ncbi,Acyrthosiphon pisum,Acyrthosiphon,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Amphorophora rubi,Amphorophora rubi,ncbi,Amphorophora rubi,Amphorophora,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Aphis,Aphis,ncbi,NA,Aphis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Aphis fabae,Aphis fabae,ncbi,Aphis fabae,Aphis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Aphis nasturtii,Aphis nasturtii,ncbi,Aphis nasturtii,Aphis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Aphis pomi,Aphis pomi,ncbi,Aphis pomi,Aphis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Aphis salicariae,Aphis salicariae,ncbi,Aphis salicariae,Aphis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Aphis sambuci,Aphis sambuci,ncbi,Aphis sambuci,Aphis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Atheroides serrulatus,Atheroides serrulatus,ncbi,Atheroides serrulatus,Atheroides,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Aulacorthum,Aulacorthum palustre,ncbi,NA,Aulacorthum,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Aulacorthum solani,Aulacorthum solani,ncbi,Aulacorthum solani,Aulacorthum,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Betulaphis quadrituberculata,Betulaphis quadrituberculata,ncbi,Betulaphis quadrituberculata,Betulaphis,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Brachycaudus,Brachycaudus,ncbi,NA,Brachycaudus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Brachycaudus helichrysi,Brachycaudus helichrysi,ncbi,Brachycaudus helichrysi,Brachycaudus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
Brachycaudus rumexicolens,Brachycaudus rumexicolens,ncbi,Brachycaudus rumexicolens,Brachycaudus,Aphididae,Hemiptera,Insecta,Arthropoda,Metazoa
